requested_year,discipline_season_id,ranking_id,group_id,group_name,ranking_name,moment_id,effective_date,country_name,country_code,source_rank,points,source_url
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,BELGIUM,BEL,1,14364.33,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,SLOVENIA,SLO,2,11993.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,FRANCE,FRA,3,11541.67,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,ITALY,ITA,4,10854.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,GREAT BRITAIN,GBR,5,9960.6,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,NETHERLANDS,NED,6,9814.66,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,SPAIN,ESP,7,7979.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,DENMARK,DEN,8,7911.6,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,AUSTRALIA,AUS,9,7001.66,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2021,150,9,1,World Ranking,UCI World Ranking,140532,2021-10-30,COLOMBIA,COL,10,6796.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=140532&disciplineSeasonId=150&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,BELGIUM,BEL,1,17901.5,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,SPAIN,ESP,2,11845.5,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,FRANCE,FRA,3,11774.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,SLOVENIA,SLO,4,9930.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,NETHERLANDS,NED,5,9485.34,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,DENMARK,DEN,6,8876.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,COLOMBIA,COL,7,8076.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,GREAT BRITAIN,GBR,8,7709.5,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,AUSTRALIA,AUS,9,7701.34,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2022,159,9,1,World Ranking,UCI World Ranking,153464,2022-10-17,ITALY,ITA,10,7195.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=153464&disciplineSeasonId=159&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,BELGIUM,BEL,1,23090.71,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,DENMARK,DEN,2,18779.56,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,SLOVENIA,SLO,3,16498.34,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,GREAT BRITAIN,GBR,4,14331.47,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,FRANCE,FRA,5,13826.36,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,SPAIN,ESP,6,13493.38,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,NETHERLANDS,NED,7,11706.63,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,ITALY,ITA,8,11621.9,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,AUSTRALIA,AUS,9,10074.2,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2023,414,9,1,World Ranking,UCI World Ranking,169790,2023-10-16,UNITED STATES,USA,10,9702.64,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=169790&disciplineSeasonId=414&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,BELGIUM,BEL,1,24499.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,SLOVENIA,SLO,2,17941.14,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,SPAIN,ESP,3,14583.86,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,FRANCE,FRA,4,12399.71,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,DENMARK,DEN,5,12153.34,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,ITALY,ITA,6,11847.67,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,NETHERLANDS,NED,7,11790.99,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,AUSTRALIA,AUS,8,11522.99,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,GREAT BRITAIN,GBR,9,11463.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2024,432,9,1,World Ranking,UCI World Ranking,185148,2024-10-19,UNITED STATES,USA,10,9943.7,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=185148&disciplineSeasonId=432&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,BELGIUM,BEL,1,17986.29,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,DENMARK,DEN,2,17191.16,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,SLOVENIA,SLO,3,14953.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,ITALY,ITA,4,14943.07,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,GREAT BRITAIN,GBR,5,14614.81,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,FRANCE,FRA,6,13769.23,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,AUSTRALIA,AUS,7,11498.69,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,NETHERLANDS,NED,8,11094.29,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,UNITED STATES,USA,9,10231.76,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2025,444,9,1,World Ranking,UCI World Ranking,195035,2025-10-18,SPAIN,ESP,10,9076.4,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=195035&disciplineSeasonId=444&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,BELGIUM,BEL,1,18307.19,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,DENMARK,DEN,2,17700.73,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,ITALY,ITA,3,15202.21,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,FRANCE,FRA,4,15082.47,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,SLOVENIA,SLO,5,14947.0,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,GREAT BRITAIN,GBR,6,14243.14,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,AUSTRALIA,AUS,7,11942.5,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,NETHERLANDS,NED,8,11045.72,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,UNITED STATES,USA,9,10294.04,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
2026,464,9,1,World Ranking,UCI World Ranking,199842,2026-03-16,SPAIN,ESP,10,7855.77,https://dataride.uci.org/iframe/RankingDetails/9?disciplineId=10&groupId=1&momentId=199842&disciplineSeasonId=464&rankingTypeId=3&categoryId=22&raceTypeId=0
